source,target,type
1,0,passion
2,0,lemon
3,2,passion
4,2,passion
5,2,lemon
6,2,lemon
7,2,lemon
8,2,lemon
9,2,lemon
10,2,passion
11,2,lemon
12,2,lemon
13,2,lemon
14,3,passion
15,3,lemon
16,4,passion
5,11,lemon
5,6,lemon
5,18,lemon
5,8,lemon
5,19,lemon
5,20,lemon
5,17,passion
6,11,lemon
6,8,lemon
6,20,lemon
6,7,passion
9,21,passion
9,22,lemon
9,23,lemon
9,24,lemon
9,18,lemon
9,11,lemon
10,19,passion
10,25,lemon
10,24,passion
10,11,passion
11,1,lemon
11,26,lemon
11,28,lemon
11,12,passion
11,29,passion
11,30,passion
11,31,passion
11,32,passion
11,33,passion
11,34,passion
11,35,passion
35,36,passion
33,39,passion
17,24,passion
24,37,passion
40,37,passion
24,38,passion
19,41,passion
19,20,passion
37,25,lemon
27,25,lemon
22,42,passion
43,44,passion
45,65,passion
43,8,lemon
46,47,passion
46,48,passion
49,50,passion
51,52,passion
53,54,passion
55,56,passion
57,58,passion
62,4,lemon
62,61,passion
63,64,passion
59,60,lemon
66,67,passion
68,53,lemon
4,65,passion
69,17,passion
70,71,passion
72,73,passion
74,31,passion
